FedEx Express U.S. Package Standard List Rates -- Zone 2,,,,,
"Effective 01/05/2009",,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
FedEx® Envelope up to 8 oz.,$41.15 ,$16.15 ,$13.95 ,$10.40 ,$9.60 
1,$44.25 ,$19.25 ,$16.10 ,$10.40 ,$9.60 
2,$45.05 ,$20.05 ,$17.45 ,$10.55 ,$9.65 
3,$47.60 ,$22.60 ,$18.45 ,$10.60 ,$9.70 
4,$49.35 ,$24.35 ,$19.90 ,$10.90 ,$9.80 
5,$49.65 ,$24.65 ,$20.65 ,$11.25 ,$9.90 
6,$51.80 ,$26.80 ,$21.65 ,$11.75 ,$10.40 
7,$53.05 ,$28.05 ,$22.00 ,$12.20 ,$10.45 
8,$53.55 ,$28.55 ,$23.15 ,$12.70 ,$10.95 
9,$54.15 ,$29.15 ,$24.40 ,$13.35 ,$11.45 
10,$54.20 ,$29.20 ,$25.15 ,$14.00 ,$12.20 
11,$56.70 ,$31.70 ,$25.75 ,$14.60 ,$12.70 
12,$57.95 ,$32.95 ,$26.65 ,$15.40 ,$13.40 
13,$58.45 ,$33.45 ,$27.00 ,$16.45 ,$14.15 
14,$59.80 ,$34.80 ,$27.95 ,$17.20 ,$14.80 
15,$60.90 ,$35.90 ,$29.05 ,$17.90 ,$15.35 
16,$61.60 ,$36.60 ,$29.65 ,$18.30 ,$15.90 
17,$63.15 ,$38.15 ,$31.20 ,$18.95 ,$16.40 
18,$64.40 ,$39.40 ,$32.10 ,$19.55 ,$16.95 
19,$65.25 ,$40.25 ,$32.95 ,$20.25 ,$17.55 
20,$66.00 ,$41.00 ,$33.50 ,$21.00 ,$18.25 
21,$67.35 ,$42.35 ,$34.40 ,$22.00 ,$18.75 
22,$68.60 ,$43.60 ,$35.65 ,$22.65 ,$19.25 
23,$69.50 ,$44.50 ,$36.20 ,$23.20 ,$20.05 
24,$70.45 ,$45.45 ,$37.15 ,$23.75 ,$20.70 
25,$71.70 ,$46.70 ,$38.05 ,$24.50 ,$21.35 
26,$72.60 ,$47.60 ,$38.90 ,$25.20 ,$22.00 
27,$73.50 ,$48.50 ,$39.50 ,$26.05 ,$22.80 
28,$74.70 ,$49.70 ,$40.70 ,$26.80 ,$23.45 
29,$75.65 ,$50.65 ,$41.60 ,$27.60 ,$24.20 
30,$76.25 ,$51.25 ,$42.20 ,$28.10 ,$24.75 
31,$77.50 ,$52.50 ,$43.05 ,$28.90 ,$25.40 
32,$79.00 ,$54.00 ,$43.95 ,$29.35 ,$25.90 
33,$80.25 ,$55.25 ,$44.90 ,$30.15 ,$26.60 
34,$81.45 ,$56.45 ,$45.70 ,$31.10 ,$27.10 
35,$83.25 ,$58.25 ,$47.00 ,$31.75 ,$27.65 
36,$84.60 ,$59.60 ,$47.85 ,$32.20 ,$28.40 
37,$84.70 ,$59.70 ,$48.75 ,$32.80 ,$28.95 
38,$85.65 ,$60.65 ,$49.60 ,$33.35 ,$29.55 
39,$87.60 ,$62.60 ,$50.85 ,$34.40 ,$30.35 
40,$88.75 ,$63.75 ,$51.65 ,$35.30 ,$31.00 
41,$89.65 ,$64.65 ,$52.55 ,$36.20 ,$31.55 
42,$90.60 ,$65.60 ,$53.45 ,$36.80 ,$32.05 
43,$92.35 ,$67.35 ,$54.35 ,$37.60 ,$32.75 
44,$93.85 ,$68.85 ,$55.30 ,$38.25 ,$33.35 
45,$95.30 ,$70.30 ,$56.20 ,$39.10 ,$34.05 
46,$96.70 ,$71.70 ,$57.10 ,$39.55 ,$34.55 
47,$97.85 ,$72.85 ,$58.25 ,$40.40 ,$35.10 
48,$98.40 ,$73.40 ,$59.15 ,$41.15 ,$35.85 
49,$100.10 ,$75.10 ,$60.05 ,$41.95 ,$36.40 
50,$100.45 ,$75.45 ,$61.20 ,$42.65 ,$36.90 
51,$102.95 ,$77.95 ,$62.10 ,$43.25 ,$37.40 
52,$104.15 ,$79.15 ,$63.35 ,$43.80 ,$37.95 
53,$105.70 ,$80.70 ,$64.55 ,$44.60 ,$38.70 
54,$107.00 ,$82.00 ,$65.40 ,$45.20 ,$39.25 
55,$108.20 ,$83.20 ,$66.65 ,$46.10 ,$39.75 
56,$109.75 ,$84.75 ,$67.80 ,$46.75 ,$40.30 
57,$111.35 ,$86.35 ,$69.30 ,$47.35 ,$40.80 
58,$113.25 ,$88.25 ,$70.75 ,$48.25 ,$41.60 
59,$114.50 ,$89.50 ,$72.00 ,$48.80 ,$42.10 
60,$116.30 ,$91.30 ,$73.15 ,$49.30 ,$42.60 
61,$117.90 ,$92.90 ,$74.40 ,$50.20 ,$43.15 
62,$120.10 ,$95.10 ,$76.45 ,$51.10 ,$43.90 
63,$121.70 ,$96.70 ,$77.55 ,$51.95 ,$44.70 
64,$123.50 ,$98.50 ,$79.10 ,$52.85 ,$45.30 
65,$125.10 ,$100.10 ,$80.35 ,$53.60 ,$45.85 
