FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
24,$8.23 ,$9.53 ,$10.00 ,$11.66 ,$14.77 ,$17.62 ,$20.89 ,$61.06 ,$61.06 ,$5.52 ,$61.06 ,$29.70 ,$40.95 ,$33.53 ,$37.67 ,$7.98 ,$33.53 ,$37.67 
25,$8.43 ,$9.79 ,$10.28 ,$12.01 ,$15.29 ,$18.22 ,$21.67 ,$62.99 ,$62.99 ,$5.57 ,$62.99 ,$30.45 ,$42.20 ,$34.61 ,$38.96 ,$8.21 ,$34.61 ,$38.96 
26,$8.65 ,$10.02 ,$10.59 ,$12.41 ,$15.86 ,$18.82 ,$22.45 ,$65.13 ,$65.13 ,$5.63 ,$65.13 ,$31.35 ,$43.30 ,$35.68 ,$40.23 ,$8.41 ,$35.68 ,$40.23 
27,$8.86 ,$10.25 ,$10.84 ,$12.79 ,$16.39 ,$19.43 ,$23.23 ,$66.95 ,$66.95 ,$5.70 ,$66.95 ,$32.10 ,$44.40 ,$36.70 ,$41.47 ,$8.63 ,$36.70 ,$41.47 
28,$9.04 ,$10.50 ,$11.18 ,$13.18 ,$16.92 ,$20.03 ,$24.04 ,$68.77 ,$68.77 ,$5.74 ,$68.77 ,$32.90 ,$45.50 ,$37.77 ,$42.74 ,$8.83 ,$37.77 ,$42.74 
29,$9.25 ,$10.70 ,$11.51 ,$13.56 ,$17.47 ,$20.63 ,$24.85 ,$70.70 ,$70.70 ,$5.79 ,$70.70 ,$33.65 ,$46.60 ,$38.83 ,$43.97 ,$9.05 ,$38.83 ,$43.97 
30,$9.47 ,$10.97 ,$11.86 ,$13.96 ,$18.03 ,$21.23 ,$25.65 ,$72.42 ,$72.42 ,$5.84 ,$72.42 ,$34.35 ,$47.75 ,$39.89 ,$45.23 ,$9.23 ,$39.89 ,$45.23 
31,$9.66 ,$11.19 ,$12.17 ,$14.34 ,$18.55 ,$21.83 ,$26.42 ,$74.24 ,$74.24 ,$5.90 ,$74.24 ,$35.15 ,$48.75 ,$40.95 ,$46.43 ,$9.43 ,$40.95 ,$46.43 
32,$9.74 ,$11.43 ,$12.50 ,$14.75 ,$19.08 ,$22.44 ,$27.22 ,$75.84 ,$75.84 ,$5.95 ,$75.84 ,$35.95 ,$49.90 ,$41.94 ,$47.53 ,$9.58 ,$41.94 ,$47.53 
33,$9.94 ,$11.69 ,$12.81 ,$15.15 ,$19.58 ,$23.04 ,$27.99 ,$77.45 ,$77.45 ,$5.99 ,$77.45 ,$36.70 ,$51.00 ,$42.91 ,$48.56 ,$9.74 ,$42.91 ,$48.56 
34,$10.08 ,$11.95 ,$13.12 ,$15.54 ,$20.11 ,$23.64 ,$28.77 ,$79.16 ,$79.16 ,$6.07 ,$79.16 ,$37.35 ,$52.05 ,$43.86 ,$49.52 ,$9.93 ,$43.86 ,$49.52 
35,$10.26 ,$12.23 ,$13.45 ,$15.93 ,$20.63 ,$24.24 ,$29.52 ,$81.11 ,$81.11 ,$6.13 ,$81.11 ,$38.25 ,$53.00 ,$44.69 ,$50.43 ,$10.10 ,$44.69 ,$50.43 
36,$10.44 ,$12.40 ,$13.74 ,$16.33 ,$21.14 ,$24.84 ,$30.22 ,$83.03 ,$83.03 ,$6.17 ,$83.03 ,$38.95 ,$54.10 ,$45.46 ,$51.27 ,$10.26 ,$45.46 ,$51.27 
37,$10.63 ,$12.68 ,$14.04 ,$16.72 ,$21.62 ,$25.44 ,$30.80 ,$84.95 ,$84.95 ,$6.23 ,$84.95 ,$39.80 ,$55.25 ,$46.24 ,$52.09 ,$10.43 ,$46.24 ,$52.09 
38,$10.79 ,$12.88 ,$14.36 ,$17.12 ,$22.10 ,$26.05 ,$31.38 ,$86.97 ,$86.97 ,$6.30 ,$86.97 ,$40.50 ,$56.20 ,$47.00 ,$52.93 ,$10.61 ,$47.00 ,$52.93 
39,$10.94 ,$13.13 ,$14.68 ,$17.50 ,$22.59 ,$26.65 ,$31.96 ,$88.69 ,$88.69 ,$6.34 ,$88.69 ,$41.25 ,$57.05 ,$47.79 ,$53.75 ,$10.75 ,$47.79 ,$53.75 
40,$11.05 ,$13.42 ,$15.00 ,$17.90 ,$23.07 ,$27.25 ,$32.54 ,$90.73 ,$90.73 ,$6.39 ,$90.73 ,$42.15 ,$58.05 ,$48.56 ,$54.68 ,$10.93 ,$48.56 ,$54.68 
41,$11.22 ,$13.64 ,$15.29 ,$18.30 ,$23.55 ,$27.85 ,$33.12 ,$92.66 ,$92.66 ,$6.47 ,$92.66 ,$42.85 ,$59.05 ,$49.35 ,$55.63 ,$11.07 ,$49.35 ,$55.63 
42,$11.40 ,$13.83 ,$15.59 ,$18.69 ,$24.00 ,$28.45 ,$33.70 ,$94.59 ,$94.59 ,$6.54 ,$94.59 ,$43.50 ,$59.95 ,$50.12 ,$56.61 ,$11.25 ,$50.12 ,$56.61 
43,$11.55 ,$14.08 ,$15.91 ,$19.09 ,$24.46 ,$29.06 ,$34.28 ,$96.52 ,$96.52 ,$6.61 ,$96.52 ,$44.30 ,$61.00 ,$50.86 ,$57.60 ,$11.39 ,$50.86 ,$57.60 
