FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
96,$34.48 ,$36.15 ,$38.33 ,$42.02 ,$46.59 ,$52.79 ,$56.71 ,$198.94 ,$198.94 ,$24.25 ,$198.94 ,$70.85 ,$107.55 ,$84.22 ,$94.41 ,$30.82 ,$84.22 ,$94.41 
97,$35.27 ,$36.83 ,$38.97 ,$42.67 ,$47.13 ,$53.34 ,$57.30 ,$200.84 ,$200.84 ,$24.81 ,$200.84 ,$71.60 ,$109.70 ,$84.93 ,$95.03 ,$31.38 ,$84.93 ,$95.03 
98,$36.06 ,$37.43 ,$39.72 ,$43.19 ,$47.67 ,$53.88 ,$57.85 ,$202.63 ,$202.63 ,$25.37 ,$202.63 ,$71.60 ,$109.70 ,$85.64 ,$95.67 ,$31.95 ,$85.64 ,$95.67 
99,$36.86 ,$38.03 ,$40.48 ,$43.73 ,$48.21 ,$54.42 ,$58.44 ,$204.53 ,$204.53 ,$25.92 ,$204.53 ,$72.30 ,$111.80 ,$86.28 ,$96.31 ,$32.50 ,$86.28 ,$96.31 
100,$37.55 ,$38.65 ,$41.23 ,$44.38 ,$48.74 ,$54.97 ,$59.01 ,$206.43 ,$206.43 ,$26.50 ,$206.43 ,$72.30 ,$111.80 ,$86.90 ,$96.91 ,$33.07 ,$86.90 ,$96.91 
101,$38.20 ,$39.26 ,$41.98 ,$45.01 ,$49.28 ,$55.51 ,$59.56 ,$208.32 ,$208.32 ,$27.05 ,$208.32 ,$76.10 ,$117.30 ,$87.55 ,$97.56 ,$33.63 ,$87.55 ,$97.56 
102,$38.59 ,$39.87 ,$42.49 ,$45.61 ,$49.81 ,$56.05 ,$60.13 ,$210.24 ,$210.24 ,$27.61 ,$210.24 ,$76.10 ,$117.30 ,$88.17 ,$98.16 ,$34.21 ,$88.17 ,$98.16 
103,$39.25 ,$40.50 ,$43.02 ,$46.10 ,$50.33 ,$56.60 ,$60.67 ,$212.13 ,$212.13 ,$28.17 ,$212.13 ,$76.10 ,$117.30 ,$88.87 ,$98.80 ,$34.77 ,$88.87 ,$98.80 
104,$39.88 ,$41.11 ,$43.55 ,$46.59 ,$50.85 ,$57.13 ,$61.24 ,$214.15 ,$214.15 ,$28.73 ,$214.15 ,$76.10 ,$117.30 ,$89.58 ,$99.41 ,$35.34 ,$89.58 ,$99.41 
105,$40.54 ,$41.75 ,$44.07 ,$47.10 ,$51.36 ,$57.68 ,$61.77 ,$216.05 ,$216.05 ,$29.28 ,$216.05 ,$76.10 ,$117.30 ,$90.28 ,$100.05 ,$35.89 ,$90.28 ,$100.05 
106,$41.21 ,$42.38 ,$44.60 ,$47.59 ,$51.88 ,$58.21 ,$62.34 ,$218.04 ,$218.04 ,$29.85 ,$218.04 ,$78.90 ,$122.70 ,$90.94 ,$100.67 ,$36.46 ,$90.94 ,$100.67 
107,$41.89 ,$43.03 ,$45.13 ,$48.10 ,$52.40 ,$58.75 ,$62.90 ,$220.06 ,$220.06 ,$30.40 ,$220.06 ,$78.90 ,$122.70 ,$91.56 ,$101.29 ,$37.02 ,$91.56 ,$101.29 
108,$42.57 ,$43.66 ,$45.66 ,$48.60 ,$52.92 ,$59.29 ,$63.45 ,$222.07 ,$222.07 ,$30.97 ,$222.07 ,$78.90 ,$122.70 ,$92.20 ,$101.91 ,$37.59 ,$92.20 ,$101.91 
109,$43.23 ,$44.30 ,$46.18 ,$49.09 ,$53.43 ,$59.82 ,$64.01 ,$223.97 ,$223.97 ,$31.53 ,$223.97 ,$78.90 ,$122.70 ,$92.80 ,$102.53 ,$38.16 ,$92.80 ,$102.53 
110,$43.94 ,$44.96 ,$46.73 ,$49.59 ,$53.97 ,$60.37 ,$64.58 ,$225.86 ,$225.86 ,$32.09 ,$225.86 ,$78.90 ,$122.70 ,$93.54 ,$103.16 ,$38.73 ,$93.54 ,$103.16 
111,$44.42 ,$45.47 ,$47.27 ,$50.09 ,$54.48 ,$60.90 ,$65.12 ,$227.87 ,$227.87 ,$32.64 ,$227.87 ,$81.65 ,$128.10 ,$94.24 ,$103.77 ,$39.28 ,$94.24 ,$103.77 
112,$44.89 ,$45.98 ,$47.80 ,$50.60 ,$55.00 ,$61.45 ,$65.66 ,$229.89 ,$229.89 ,$33.19 ,$229.89 ,$81.65 ,$128.10 ,$94.94 ,$104.46 ,$39.85 ,$94.94 ,$104.46 
113,$45.37 ,$46.51 ,$48.35 ,$51.10 ,$55.52 ,$61.98 ,$66.20 ,$231.89 ,$231.89 ,$33.76 ,$231.89 ,$81.65 ,$128.10 ,$95.56 ,$105.18 ,$40.41 ,$95.56 ,$105.18 
114,$45.85 ,$47.04 ,$48.88 ,$51.61 ,$56.05 ,$62.51 ,$66.75 ,$233.90 ,$233.90 ,$34.31 ,$233.90 ,$81.65 ,$128.10 ,$96.22 ,$105.87 ,$40.98 ,$96.22 ,$105.87 
115,$46.35 ,$47.58 ,$49.44 ,$52.12 ,$56.57 ,$63.06 ,$67.30 ,$235.89 ,$235.89 ,$34.87 ,$235.89 ,$81.65 ,$128.10 ,$96.85 ,$106.55 ,$41.54 ,$96.85 ,$106.55 
116,$46.83 ,$48.10 ,$49.99 ,$52.64 ,$57.10 ,$63.59 ,$67.84 ,$237.81 ,$237.81 ,$35.43 ,$237.81 ,$84.10 ,$133.60 ,$97.49 ,$107.28 ,$42.12 ,$97.49 ,$107.28 
117,$47.30 ,$48.63 ,$50.52 ,$53.13 ,$57.61 ,$64.13 ,$68.40 ,$239.71 ,$239.71 ,$36.00 ,$239.71 ,$84.10 ,$133.60 ,$98.17 ,$107.97 ,$42.67 ,$98.17 ,$107.97 
118,$47.80 ,$49.17 ,$51.08 ,$53.64 ,$58.13 ,$64.67 ,$68.93 ,$241.62 ,$241.62 ,$36.55 ,$241.62 ,$84.10 ,$133.60 ,$98.89 ,$108.65 ,$43.24 ,$98.89 ,$108.65 
119,$48.29 ,$49.71 ,$51.63 ,$54.14 ,$58.66 ,$65.21 ,$69.48 ,$243.93 ,$243.93 ,$37.12 ,$243.93 ,$84.10 ,$133.60 ,$99.59 ,$109.28 ,$43.80 ,$99.59 ,$109.28 
120,$49.13 ,$50.24 ,$52.19 ,$54.66 ,$59.18 ,$65.74 ,$70.04 ,$245.94 ,$245.94 ,$37.67 ,$245.94 ,$84.10 ,$133.60 ,$100.28 ,$109.92 ,$44.37 ,$100.28 ,$109.92 
121,$49.76 ,$50.79 ,$52.74 ,$55.17 ,$59.72 ,$66.28 ,$70.58 ,$248.05 ,$248.05 ,$38.23 ,$248.05 ,$86.45 ,$139.00 ,$101.00 ,$110.53 ,$44.93 ,$101.00 ,$110.53 
122,$50.26 ,$51.32 ,$53.30 ,$55.68 ,$60.23 ,$66.81 ,$71.15 ,$250.16 ,$250.16 ,$38.79 ,$250.16 ,$86.45 ,$139.00 ,$101.72 ,$111.14 ,$45.51 ,$101.72 ,$111.14 
123,$50.77 ,$51.86 ,$53.87 ,$56.19 ,$60.77 ,$67.35 ,$71.70 ,$252.28 ,$252.28 ,$39.35 ,$252.28 ,$86.45 ,$139.00 ,$102.39 ,$111.78 ,$46.06 ,$102.39 ,$111.78 
124,$51.27 ,$52.42 ,$54.44 ,$56.72 ,$61.30 ,$67.89 ,$72.25 ,$254.40 ,$254.40 ,$39.90 ,$254.40 ,$86.45 ,$139.00 ,$103.10 ,$112.39 ,$46.63 ,$103.10 ,$112.39 
125,$51.77 ,$52.96 ,$55.00 ,$57.22 ,$61.82 ,$68.42 ,$72.80 ,$256.51 ,$256.51 ,$40.47 ,$256.51 ,$86.45 ,$139.00 ,$103.80 ,$113.04 ,$47.19 ,$103.80 ,$113.04 
126,$52.28 ,$53.51 ,$55.57 ,$57.75 ,$62.36 ,$68.96 ,$73.38 ,$258.61 ,$258.61 ,$41.03 ,$258.61 ,$88.65 ,$144.40 ,$104.53 ,$113.64 ,$47.76 ,$104.53 ,$113.64 
127,$52.78 ,$54.06 ,$56.14 ,$58.26 ,$62.89 ,$69.49 ,$73.92 ,$260.72 ,$260.72 ,$41.58 ,$260.72 ,$88.65 ,$144.40 ,$105.22 ,$114.29 ,$48.32 ,$105.22 ,$114.29 
128,$53.30 ,$54.63 ,$56.71 ,$58.78 ,$63.42 ,$70.02 ,$74.49 ,$262.84 ,$262.84 ,$42.15 ,$262.84 ,$88.65 ,$144.40 ,$105.94 ,$114.98 ,$48.89 ,$105.94 ,$114.98 
129,$53.80 ,$55.18 ,$57.29 ,$59.31 ,$63.95 ,$70.56 ,$75.04 ,$264.95 ,$264.95 ,$42.70 ,$264.95 ,$88.65 ,$144.40 ,$106.64 ,$115.65 ,$49.44 ,$106.64 ,$115.65 
130,$54.32 ,$55.73 ,$57.84 ,$59.81 ,$64.47 ,$71.10 ,$75.60 ,$267.06 ,$267.06 ,$43.26 ,$267.06 ,$88.65 ,$144.40 ,$107.34 ,$116.35 ,$50.02 ,$107.34 ,$116.35 
131,$54.84 ,$56.30 ,$58.44 ,$60.35 ,$65.01 ,$71.64 ,$76.15 ,$269.17 ,$269.17 ,$43.82 ,$269.17 ,$90.85 ,$150.40 ,$108.04 ,$117.07 ,$50.58 ,$108.04 ,$117.07 
132,$55.35 ,$56.86 ,$59.02 ,$60.86 ,$65.55 ,$72.17 ,$76.70 ,$271.28 ,$271.28 ,$44.38 ,$271.28 ,$90.85 ,$150.40 ,$108.76 ,$117.76 ,$51.15 ,$108.76 ,$117.76 
133,$55.87 ,$57.43 ,$59.60 ,$61.38 ,$66.07 ,$72.71 ,$77.26 ,$273.40 ,$273.40 ,$44.93 ,$273.40 ,$90.85 ,$150.40 ,$109.45 ,$118.45 ,$51.71 ,$109.45 ,$118.45 
134,$56.38 ,$57.99 ,$60.19 ,$61.92 ,$66.61 ,$73.24 ,$77.82 ,$275.51 ,$275.51 ,$45.51 ,$275.51 ,$90.85 ,$150.40 ,$110.15 ,$119.14 ,$52.28 ,$110.15 ,$119.14 
135,$56.90 ,$58.57 ,$60.77 ,$62.43 ,$67.14 ,$73.77 ,$78.37 ,$277.63 ,$277.63 ,$46.06 ,$277.63 ,$90.85 ,$150.40 ,$110.86 ,$119.77 ,$52.83 ,$110.86 ,$119.77 
136,$57.42 ,$59.12 ,$61.37 ,$62.95 ,$67.67 ,$74.31 ,$78.95 ,$279.73 ,$279.73 ,$46.62 ,$279.73 ,$93.05 ,$156.45 ,$111.59 ,$120.40 ,$53.41 ,$111.59 ,$120.40 
137,$57.94 ,$59.70 ,$61.95 ,$63.47 ,$68.21 ,$74.83 ,$79.51 ,$281.86 ,$281.86 ,$47.18 ,$281.86 ,$93.05 ,$156.45 ,$112.28 ,$121.03 ,$53.97 ,$112.28 ,$121.03 
138,$58.46 ,$60.27 ,$62.54 ,$64.01 ,$68.75 ,$75.37 ,$80.06 ,$283.98 ,$283.98 ,$47.74 ,$283.98 ,$93.05 ,$156.45 ,$113.00 ,$121.65 ,$54.54 ,$113.00 ,$121.65 
139,$58.98 ,$60.86 ,$63.13 ,$64.54 ,$69.28 ,$75.90 ,$80.61 ,$286.09 ,$286.09 ,$48.29 ,$286.09 ,$93.05 ,$156.45 ,$113.68 ,$122.25 ,$55.10 ,$113.68 ,$122.25 
140,$59.52 ,$61.45 ,$63.72 ,$65.07 ,$69.82 ,$76.44 ,$81.18 ,$288.08 ,$288.08 ,$48.86 ,$288.08 ,$93.05 ,$156.45 ,$114.38 ,$122.90 ,$55.67 ,$114.38 ,$122.90 
141,$60.04 ,$62.01 ,$64.33 ,$65.59 ,$70.36 ,$76.97 ,$81.74 ,$290.09 ,$290.09 ,$49.41 ,$290.09 ,$95.25 ,$162.45 ,$115.08 ,$123.50 ,$56.22 ,$115.08 ,$123.50 
142,$60.57 ,$62.60 ,$64.92 ,$66.12 ,$70.89 ,$77.50 ,$82.29 ,$292.13 ,$292.13 ,$49.96 ,$292.13 ,$95.25 ,$162.45 ,$115.80 ,$124.15 ,$56.78 ,$115.80 ,$124.15 
143,$61.11 ,$63.18 ,$65.53 ,$66.66 ,$71.43 ,$78.04 ,$82.85 ,$294.11 ,$294.11 ,$50.54 ,$294.11 ,$95.25 ,$162.45 ,$116.50 ,$124.77 ,$57.36 ,$116.50 ,$124.77 
144,$61.64 ,$63.76 ,$66.13 ,$67.18 ,$71.97 ,$78.57 ,$83.40 ,$296.13 ,$296.13 ,$51.09 ,$296.13 ,$95.25 ,$162.45 ,$117.21 ,$125.47 ,$57.92 ,$117.21 ,$125.47 
145,$62.17 ,$64.36 ,$66.74 ,$67.73 ,$72.51 ,$79.10 ,$83.96 ,$298.23 ,$298.23 ,$51.65 ,$298.23 ,$95.25 ,$162.45 ,$117.90 ,$126.16 ,$58.49 ,$117.90 ,$126.16 
146,$62.71 ,$64.94 ,$67.34 ,$68.25 ,$73.04 ,$79.63 ,$84.50 ,$300.35 ,$300.35 ,$52.21 ,$300.35 ,$97.40 ,$168.35 ,$118.60 ,$126.85 ,$59.05 ,$118.60 ,$126.85 
147,$63.24 ,$65.54 ,$67.96 ,$68.79 ,$73.59 ,$80.16 ,$85.08 ,$302.46 ,$302.46 ,$52.77 ,$302.46 ,$97.40 ,$168.35 ,$119.32 ,$127.55 ,$59.61 ,$119.32 ,$127.55 
148,$63.77 ,$66.12 ,$68.57 ,$69.33 ,$74.13 ,$80.70 ,$85.64 ,$304.57 ,$304.57 ,$53.32 ,$304.57 ,$97.40 ,$168.35 ,$120.04 ,$128.23 ,$60.17 ,$120.04 ,$128.23 
149,$64.31 ,$66.72 ,$69.18 ,$69.86 ,$74.66 ,$81.22 ,$86.19 ,$306.69 ,$306.69 ,$53.89 ,$306.69 ,$97.40 ,$168.35 ,$120.74 ,$128.94 ,$60.74 ,$120.74 ,$128.94 
150,$64.86 ,$67.33 ,$69.80 ,$70.40 ,$75.22 ,$81.76 ,$86.75 ,$308.80 ,$308.80 ,$54.44 ,$308.80 ,$97.40 ,$168.35 ,$121.44 ,$129.64 ,$61.31 ,$121.44 ,$129.64 


See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
