FedEx Ground Retail Counter Rates ,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
114,$60.26 ,$61.83 ,$64.23 ,$67.82 ,$73.65 ,$82.13 ,$87.70 ,$307.09 ,$43.58 ,$307.09 ,$122.22 ,$134.48 ,$52.06 ,$122.22 ,$134.48 
115,$60.92 ,$62.53 ,$64.97 ,$68.49 ,$74.33 ,$82.85 ,$88.42 ,$309.71 ,$44.30 ,$309.71 ,$123.02 ,$135.34 ,$52.78 ,$123.02 ,$135.34 
116,$61.55 ,$63.22 ,$65.70 ,$69.17 ,$75.02 ,$83.56 ,$89.14 ,$312.22 ,$45.01 ,$312.22 ,$123.84 ,$136.27 ,$53.49 ,$123.84 ,$136.27 
117,$62.16 ,$63.91 ,$66.39 ,$69.81 ,$75.71 ,$84.26 ,$89.86 ,$314.72 ,$45.73 ,$314.72 ,$124.70 ,$137.14 ,$54.20 ,$124.70 ,$137.14 
118,$62.82 ,$64.62 ,$67.13 ,$70.49 ,$76.39 ,$84.97 ,$90.57 ,$317.22 ,$46.42 ,$317.22 ,$125.62 ,$138.02 ,$54.93 ,$125.62 ,$138.02 
119,$63.47 ,$65.33 ,$67.85 ,$71.15 ,$77.08 ,$85.68 ,$91.29 ,$320.26 ,$47.15 ,$320.26 ,$126.50 ,$138.81 ,$55.64 ,$126.50 ,$138.81 
120,$64.57 ,$66.02 ,$68.59 ,$71.84 ,$77.77 ,$86.37 ,$92.02 ,$322.90 ,$47.84 ,$322.90 ,$127.38 ,$139.63 ,$56.36 ,$127.38 ,$139.63 
121,$65.40 ,$66.74 ,$69.31 ,$72.50 ,$78.48 ,$87.08 ,$92.74 ,$325.67 ,$48.56 ,$325.67 ,$128.29 ,$140.39 ,$57.08 ,$128.29 ,$140.39 
122,$66.05 ,$67.45 ,$70.05 ,$73.17 ,$79.15 ,$87.78 ,$93.48 ,$328.44 ,$49.28 ,$328.44 ,$129.21 ,$141.18 ,$57.80 ,$129.21 ,$141.18 
123,$66.72 ,$68.16 ,$70.79 ,$73.84 ,$79.86 ,$88.49 ,$94.20 ,$331.23 ,$49.99 ,$331.23 ,$130.07 ,$141.99 ,$58.50 ,$130.07 ,$141.99 
124,$67.38 ,$68.89 ,$71.53 ,$74.54 ,$80.55 ,$89.20 ,$94.93 ,$334.01 ,$50.69 ,$334.01 ,$130.97 ,$142.77 ,$59.23 ,$130.97 ,$142.77 
125,$68.03 ,$69.61 ,$72.27 ,$75.19 ,$81.23 ,$89.89 ,$95.65 ,$336.77 ,$51.41 ,$336.77 ,$131.85 ,$143.59 ,$59.94 ,$131.85 ,$143.59 
126,$68.71 ,$70.32 ,$73.03 ,$75.89 ,$81.94 ,$90.60 ,$96.40 ,$339.53 ,$52.12 ,$339.53 ,$132.78 ,$144.35 ,$60.67 ,$132.78 ,$144.35 
127,$69.36 ,$71.04 ,$73.77 ,$76.55 ,$82.64 ,$91.30 ,$97.11 ,$342.30 ,$52.81 ,$342.30 ,$133.66 ,$145.17 ,$61.39 ,$133.66 ,$145.17 
128,$70.05 ,$71.78 ,$74.52 ,$77.24 ,$83.33 ,$92.00 ,$97.87 ,$345.08 ,$53.54 ,$345.08 ,$134.58 ,$146.04 ,$62.10 ,$134.58 ,$146.04 
129,$70.70 ,$72.51 ,$75.28 ,$77.93 ,$84.03 ,$92.71 ,$98.59 ,$347.85 ,$54.23 ,$347.85 ,$135.46 ,$146.91 ,$62.81 ,$135.46 ,$146.91 
130,$71.38 ,$73.23 ,$76.00 ,$78.59 ,$84.71 ,$93.41 ,$99.32 ,$350.63 ,$54.95 ,$350.63 ,$136.35 ,$147.79 ,$63.54 ,$136.35 ,$147.79 
131,$72.07 ,$73.98 ,$76.79 ,$79.30 ,$85.42 ,$94.12 ,$100.04 ,$353.40 ,$55.67 ,$353.40 ,$137.23 ,$148.71 ,$64.24 ,$137.23 ,$148.71 
132,$72.73 ,$74.73 ,$77.55 ,$79.96 ,$86.13 ,$94.82 ,$100.76 ,$356.17 ,$56.38 ,$356.17 ,$138.15 ,$149.59 ,$64.97 ,$138.15 ,$149.59 
133,$73.42 ,$75.47 ,$78.32 ,$80.65 ,$86.81 ,$95.53 ,$101.50 ,$358.96 ,$57.08 ,$358.96 ,$139.03 ,$150.46 ,$65.69 ,$139.03 ,$150.46 
134,$74.09 ,$76.20 ,$79.09 ,$81.36 ,$87.52 ,$96.23 ,$102.24 ,$361.73 ,$57.80 ,$361.73 ,$139.91 ,$151.34 ,$66.41 ,$139.91 ,$151.34 
135,$74.76 ,$76.96 ,$79.86 ,$82.03 ,$88.22 ,$96.92 ,$102.96 ,$364.51 ,$58.50 ,$364.51 ,$140.82 ,$152.14 ,$67.11 ,$140.82 ,$152.14 
136,$75.46 ,$77.69 ,$80.63 ,$82.72 ,$88.91 ,$97.63 ,$103.72 ,$367.26 ,$59.21 ,$367.26 ,$141.74 ,$152.94 ,$67.84 ,$141.74 ,$152.94 
137,$76.13 ,$78.45 ,$81.40 ,$83.40 ,$89.62 ,$98.32 ,$104.45 ,$370.06 ,$59.93 ,$370.06 ,$142.61 ,$153.75 ,$68.55 ,$142.61 ,$153.75 
138,$76.82 ,$79.20 ,$82.18 ,$84.11 ,$90.33 ,$99.02 ,$105.17 ,$372.84 ,$60.65 ,$372.84 ,$143.53 ,$154.52 ,$69.28 ,$143.53 ,$154.52 
139,$77.50 ,$79.96 ,$82.95 ,$84.81 ,$91.03 ,$99.72 ,$105.89 ,$375.61 ,$61.34 ,$375.61 ,$144.41 ,$155.29 ,$70.00 ,$144.41 ,$155.29 
140,$78.21 ,$80.74 ,$83.73 ,$85.50 ,$91.74 ,$100.43 ,$106.65 ,$378.23 ,$62.07 ,$378.23 ,$145.29 ,$156.11 ,$70.71 ,$145.29 ,$156.11 
141,$78.89 ,$81.49 ,$84.52 ,$86.18 ,$92.45 ,$101.12 ,$107.39 ,$380.86 ,$62.76 ,$380.86 ,$146.18 ,$156.87 ,$71.42 ,$146.18 ,$156.87 
142,$79.59 ,$82.26 ,$85.30 ,$86.88 ,$93.14 ,$101.82 ,$108.11 ,$383.53 ,$63.47 ,$383.53 ,$147.10 ,$157.70 ,$72.13 ,$147.10 ,$157.70 
143,$80.29 ,$83.02 ,$86.10 ,$87.59 ,$93.85 ,$102.53 ,$108.85 ,$386.14 ,$64.19 ,$386.14 ,$147.98 ,$158.49 ,$72.85 ,$147.98 ,$158.49 
144,$81.00 ,$83.77 ,$86.89 ,$88.27 ,$94.56 ,$103.22 ,$109.57 ,$388.79 ,$64.89 ,$388.79 ,$148.89 ,$159.38 ,$73.57 ,$148.89 ,$159.38 
145,$81.69 ,$84.56 ,$87.69 ,$88.99 ,$95.27 ,$103.92 ,$110.30 ,$391.55 ,$65.60 ,$391.55 ,$149.77 ,$160.26 ,$74.30 ,$149.77 ,$160.26 
146,$82.39 ,$85.32 ,$88.48 ,$89.68 ,$95.97 ,$104.62 ,$111.01 ,$394.34 ,$66.32 ,$394.34 ,$150.65 ,$161.13 ,$75.01 ,$150.65 ,$161.13 
147,$83.10 ,$86.12 ,$89.30 ,$90.39 ,$96.69 ,$105.31 ,$111.76 ,$397.11 ,$67.04 ,$397.11 ,$151.56 ,$162.02 ,$75.72 ,$151.56 ,$162.02 
148,$83.79 ,$86.88 ,$90.09 ,$91.10 ,$97.40 ,$106.02 ,$112.50 ,$399.88 ,$67.73 ,$399.88 ,$152.48 ,$162.89 ,$76.43 ,$152.48 ,$162.89 
149,$84.49 ,$87.66 ,$90.89 ,$91.79 ,$98.09 ,$106.70 ,$113.22 ,$402.66 ,$68.46 ,$402.66 ,$153.36 ,$163.79 ,$77.16 ,$153.36 ,$163.79 
150,$85.22 ,$88.46 ,$91.71 ,$92.50 ,$98.82 ,$107.41 ,$113.96 ,$405.43 ,$69.15 ,$405.43 ,$154.25 ,$164.67 ,$77.88 ,$154.25 ,$164.67 


See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
