FedEx Express U.S. Package Retail Counter Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
46,$61.65 ,$84.90 ,$168.00 ,$180.60 ,$193.40 ,$195.25 ,$205.25 ,$210.40 ,-,$144.70 
47,$62.95 ,$86.70 ,$171.25 ,$183.45 ,$196.35 ,$199.20 ,$208.40 ,$213.65 ,-,$146.60 
48,$63.90 ,$88.50 ,$174.45 ,$186.75 ,$199.45 ,$202.30 ,$211.35 ,$216.65 ,-,$148.40 
49,$64.90 ,$90.20 ,$177.75 ,$189.55 ,$202.65 ,$205.95 ,$214.15 ,$219.55 ,-,$149.40 
50,$66.10 ,$91.60 ,$177.90 ,$192.45 ,$206.35 ,$209.55 ,$217.40 ,$222.85 ,-,$149.50 
51,$67.05 ,$93.30 ,$182.70 ,$195.55 ,$208.40 ,$213.10 ,$221.70 ,$227.25 ,-,$155.30 
52,$68.45 ,$94.75 ,$185.55 ,$199.20 ,$211.35 ,$217.40 ,$225.95 ,$231.60 ,-,$157.60 
53,$69.70 ,$96.75 ,$188.35 ,$202.65 ,$213.75 ,$222.05 ,$230.60 ,$236.40 ,-,$159.90 
54,$70.65 ,$98.55 ,$191.60 ,$206.80 ,$216.65 ,$227.00 ,$234.80 ,$240.70 ,-,$162.00 
55,$72.00 ,$100.65 ,$194.50 ,$209.55 ,$219.90 ,$230.25 ,$239.00 ,$245.00 ,-,$164.30 
56,$73.20 ,$102.35 ,$197.80 ,$211.85 ,$223.10 ,$235.10 ,$243.15 ,$249.25 ,-,$166.80 
57,$74.90 ,$104.50 ,$200.25 ,$215.80 ,$227.40 ,$239.35 ,$246.40 ,$252.60 ,-,$169.60 
58,$76.45 ,$106.95 ,$202.30 ,$218.70 ,$232.10 ,$243.80 ,$250.95 ,$257.25 ,-,$173.80 
59,$77.75 ,$109.65 ,$205.60 ,$221.35 ,$236.65 ,$247.85 ,$255.15 ,$261.55 ,-,$177.10 
60,$79.00 ,$112.05 ,$208.80 ,$225.15 ,$240.65 ,$252.35 ,$259.25 ,$265.75 ,-,$179.40 
61,$80.35 ,$114.20 ,$212.05 ,$227.80 ,$244.90 ,$256.55 ,$263.75 ,$270.35 ,-,$182.80 
62,$82.55 ,$115.85 ,$215.35 ,$230.60 ,$249.25 ,$260.40 ,$268.60 ,$275.35 ,-,$184.40 
63,$83.75 ,$118.10 ,$218.80 ,$234.15 ,$253.60 ,$264.20 ,$273.50 ,$280.35 ,-,$185.80 
64,$85.45 ,$120.45 ,$222.05 ,$237.80 ,$257.85 ,$269.15 ,$278.25 ,$285.25 ,-,$187.20 
65,$86.75 ,$122.60 ,$225.15 ,$241.05 ,$261.75 ,$273.40 ,$282.40 ,$289.50 ,-,$191.20 
66,$88.35 ,$125.00 ,$229.25 ,$244.60 ,$266.05 ,$278.25 ,$286.05 ,$293.25 ,-,$194.40 
67,$89.65 ,$127.45 ,$232.10 ,$248.20 ,$269.95 ,$282.40 ,$290.30 ,$297.60 ,-,$195.80 
68,$91.25 ,$129.85 ,$235.60 ,$251.75 ,$274.20 ,$286.40 ,$295.00 ,$302.40 ,-,$200.80 
69,$92.90 ,$132.00 ,$238.40 ,$255.35 ,$278.95 ,$290.30 ,$299.55 ,$307.05 ,-,$203.10 
70,$94.80 ,$134.70 ,$242.10 ,$259.20 ,$283.60 ,$294.20 ,$304.60 ,$312.25 ,-,$207.00 
71,$96.65 ,$136.80 ,$244.15 ,$262.50 ,$285.25 ,$297.15 ,$308.90 ,$316.65 ,-,$207.60 
72,$98.60 ,$139.00 ,$247.45 ,$266.05 ,$289.35 ,$302.15 ,$314.30 ,$322.20 ,-,$210.70 
73,$99.95 ,$142.10 ,$251.30 ,$269.95 ,$293.25 ,$306.90 ,$320.00 ,$328.00 ,-,$214.20 
74,$101.90 ,$144.55 ,$254.60 ,$274.20 ,$297.90 ,$311.00 ,$325.75 ,$333.90 ,-,$217.20 
75,$103.45 ,$146.55 ,$257.40 ,$278.25 ,$301.80 ,$316.15 ,$330.25 ,$338.55 ,-,$220.40 
76,$105.00 ,$146.65 ,$261.05 ,$282.40 ,$306.05 ,$320.75 ,$335.10 ,$343.50 ,-,$222.60 
77,$106.95 ,$151.15 ,$264.20 ,$286.85 ,$309.95 ,$325.75 ,$340.80 ,$349.35 ,-,$226.40 
78,$108.55 ,$153.65 ,$267.85 ,$290.95 ,$313.85 ,$330.00 ,$346.85 ,$355.55 ,-,$229.40 
