FedEx Express U.S. Package Retail Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 1/3/2011",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
46,$69.70 ,$97.45 ,$199.90 ,$214.95 ,$230.25 ,$232.50 ,$244.40 ,$247.85 ,,$158.50 
47,$71.15 ,$99.45 ,$203.85 ,$218.40 ,$233.75 ,$237.15 ,$248.05 ,$251.55 ,,$161.50 
48,$72.25 ,$101.45 ,$207.50 ,$222.30 ,$237.45 ,$240.90 ,$251.65 ,$255.20 ,,$163.80 
49,$73.35 ,$103.40 ,$210.45 ,$224.80 ,$241.05 ,$244.85 ,$254.00 ,$257.60 ,,$166.30 
50,$74.70 ,$104.95 ,$210.50 ,$224.90 ,$241.10 ,$244.90 ,$254.05 ,$257.65 ,,$168.80 
51,$75.80 ,$106.95 ,$217.20 ,$232.75 ,$248.05 ,$253.65 ,$263.95 ,$267.65 ,,$171.90 
52,$77.30 ,$108.65 ,$220.50 ,$237.15 ,$251.65 ,$258.85 ,$269.00 ,$272.80 ,,$175.00 
53,$78.80 ,$110.95 ,$223.90 ,$241.30 ,$254.50 ,$264.45 ,$274.60 ,$278.45 ,,$177.70 
54,$79.80 ,$113.00 ,$227.55 ,$246.15 ,$257.95 ,$270.30 ,$279.60 ,$283.55 ,,$180.70 
55,$81.30 ,$115.40 ,$231.60 ,$249.50 ,$261.75 ,$274.15 ,$284.60 ,$288.60 ,,$183.40 
56,$82.75 ,$117.35 ,$235.50 ,$252.15 ,$265.70 ,$279.95 ,$289.50 ,$293.60 ,,$186.70 
57,$84.60 ,$119.80 ,$238.35 ,$256.90 ,$270.70 ,$284.90 ,$293.35 ,$297.50 ,,$190.40 
58,$86.40 ,$122.60 ,$240.90 ,$260.40 ,$276.45 ,$290.30 ,$298.75 ,$302.95 ,,$193.50 
59,$87.90 ,$125.75 ,$244.75 ,$263.60 ,$281.75 ,$295.10 ,$303.80 ,$308.10 ,,$197.10 
60,$89.30 ,$128.55 ,$248.65 ,$268.10 ,$286.55 ,$300.50 ,$308.70 ,$313.05 ,,$201.10 
61,$90.85 ,$130.90 ,$252.50 ,$271.25 ,$291.60 ,$305.55 ,$314.05 ,$318.45 ,,$204.70 
62,$93.35 ,$132.85 ,$256.40 ,$274.60 ,$296.75 ,$310.00 ,$319.80 ,$324.30 ,,$208.20 
63,$94.70 ,$135.45 ,$260.50 ,$278.85 ,$301.85 ,$314.55 ,$325.60 ,$330.20 ,,$212.30 
64,$96.60 ,$138.10 ,$264.45 ,$283.15 ,$307.00 ,$320.45 ,$331.35 ,$336.00 ,,$216.00 
65,$98.05 ,$140.55 ,$268.10 ,$287.00 ,$311.55 ,$325.50 ,$336.20 ,$340.95 ,,$219.70 
66,$99.85 ,$140.60 ,$268.15 ,$287.05 ,$316.80 ,$331.35 ,$340.55 ,$345.35 ,,$223.50 
67,$101.35 ,$146.15 ,$276.45 ,$295.50 ,$321.45 ,$336.20 ,$345.70 ,$350.55 ,,$227.10 
68,$103.20 ,$148.85 ,$280.55 ,$299.75 ,$326.40 ,$341.05 ,$351.30 ,$356.25 ,,$230.90 
69,$105.00 ,$151.40 ,$283.90 ,$304.05 ,$332.10 ,$345.70 ,$356.70 ,$361.70 ,,$234.20 
70,$107.15 ,$154.45 ,$288.25 ,$308.65 ,$337.60 ,$350.30 ,$362.70 ,$367.80 ,,$238.10 
71,$109.20 ,$156.95 ,$290.65 ,$312.55 ,$339.65 ,$353.80 ,$367.80 ,$372.95 ,,$242.90 
72,$111.45 ,$159.40 ,$294.55 ,$316.80 ,$344.50 ,$359.70 ,$374.20 ,$379.45 ,,$246.50 
73,$113.00 ,$162.95 ,$299.20 ,$321.45 ,$349.15 ,$365.40 ,$381.05 ,$386.40 ,,$250.80 
74,$115.25 ,$165.80 ,$303.10 ,$326.40 ,$354.65 ,$370.30 ,$387.85 ,$393.30 ,,$254.50 
75,$116.95 ,$168.05 ,$306.55 ,$331.35 ,$357.35 ,$376.35 ,$391.80 ,$397.30 ,,$258.70 
76,$118.75 ,$168.10 ,$310.80 ,$336.20 ,$364.35 ,$381.95 ,$399.00 ,$404.60 ,,$262.30 
77,$120.95 ,$173.45 ,$314.55 ,$341.60 ,$369.15 ,$387.85 ,$405.80 ,$411.50 ,,$266.10 
78,$122.75 ,$176.20 ,$318.90 ,$346.45 ,$373.75 ,$392.95 ,$413.10 ,$418.90 ,,$269.90 
79,$124.25 ,$179.40 ,$322.60 ,$351.70 ,$378.60 ,$398.40 ,$419.15 ,$425.05 ,,$273.50 
80,$124.55 ,$182.30 ,$325.10 ,$356.70 ,$380.50 ,$404.40 ,$422.85 ,$428.80 ,,$277.10 
81,$128.20 ,$185.50 ,$329.00 ,$361.05 ,$386.60 ,$409.60 ,$429.60 ,$435.65 ,,$280.60 
82,$131.15 ,$188.35 ,$336.00 ,$366.20 ,$389.45 ,$415.50 ,$435.00 ,$441.10 ,,$284.40 
83,$132.95 ,$191.45 ,$340.55 ,$370.05 ,$396.75 ,$421.45 ,$440.70 ,$446.90 ,,$288.00 
84,$134.40 ,$194.40 ,$344.30 ,$374.65 ,$396.80 ,$427.50 ,$445.60 ,$451.85 ,,$291.20 
85,$135.05 ,$197.55 ,$349.80 ,$378.95 ,$406.25 ,$433.05 ,$451.05 ,$457.40 ,,$294.70 
86,$137.90 ,$200.40 ,$357.20 ,$384.00 ,$406.30 ,$438.40 ,$456.45 ,$462.85 ,,$298.70 
87,$139.55 ,$203.70 ,$362.70 ,$389.25 ,$406.35 ,$444.55 ,$461.45 ,$467.95 ,,$301.70 
88,$140.95 ,$206.85 ,$366.25 ,$393.40 ,$418.20 ,$449.50 ,$466.80 ,$473.35 ,,$305.50 
89,$143.15 ,$210.00 ,$373.75 ,$397.55 ,$425.75 ,$454.50 ,$472.50 ,$479.15 ,,$308.60 
90,$143.20 ,$212.90 ,$379.75 ,$401.95 ,$430.45 ,$459.50 ,$477.50 ,$484.20 ,,$312.40 
91,$146.05 ,$216.10 ,$384.90 ,$407.00 ,$435.10 ,$464.85 ,$482.80 ,$489.60 ,,$315.30 
92,$148.25 ,$218.55 ,$389.95 ,$412.60 ,$440.30 ,$469.80 ,$488.25 ,$495.10 ,,$319.30 
93,$150.05 ,$221.15 ,$394.60 ,$417.65 ,$445.30 ,$474.70 ,$493.65 ,$500.60 ,,$322.40 
94,$150.10 ,$223.50 ,$399.45 ,$422.35 ,$450.10 ,$480.20 ,$498.65 ,$505.65 ,,$326.10 
95,$150.15 ,$226.10 ,$403.10 ,$427.00 ,$455.20 ,$484.85 ,$504.25 ,$511.35 ,,$329.40 
96,$156.30 ,$228.55 ,$407.55 ,$431.65 ,$460.25 ,$490.20 ,$509.30 ,$516.45 ,,$333.00 
97,$157.50 ,$231.10 ,$411.65 ,$436.85 ,$464.90 ,$495.55 ,$514.65 ,$521.90 ,,$336.50 
98,$157.55 ,$233.55 ,$416.00 ,$436.95 ,$470.05 ,$500.50 ,$520.15 ,$527.45 ,,$339.90 
99,$157.60 ,$235.65 ,$419.40 ,$446.25 ,$474.70 ,$505.80 ,$525.50 ,$532.90 ,,$343.30 
100,$158.00 ,$236.00 ,$423.00 ,$450.00 ,$477.00 ,$509.00 ,$527.00 ,$535.00 ,,$347.00 
101,$159.58 ,$238.36 ,$427.23 ,$454.50 ,$481.77 ,$514.09 ,$532.27 ,$540.35 ,,$350.47 
102,$161.16 ,$240.72 ,$431.46 ,$459.00 ,$486.54 ,$519.18 ,$537.54 ,$545.70 ,,$353.94 
103,$162.74 ,$243.08 ,$435.69 ,$463.50 ,$491.31 ,$524.27 ,$542.81 ,$551.05 ,,$357.41 
104,$164.32 ,$245.44 ,$439.92 ,$468.00 ,$496.08 ,$529.36 ,$548.08 ,$556.40 ,,$360.88 
105,$165.90 ,$247.80 ,$444.15 ,$472.50 ,$500.85 ,$534.45 ,$553.35 ,$561.75 ,,$364.35 
