YOUR ZONE LOCATOR†

For shipments originating in ZIP code(s):
96798

How to use this chart:

Shipping with FedEx distance-based rates is easy
with this Zone Locator specially customized to your
origin location. It shows the zone for anywhere your
FedEx Express® or FedEx Ground® shipment is going.
Here's all you do:

1. Find your recipient's ZIP code in this list using
   either the first three digits or the full ZIP code,
   whichever is shown.
2. See which zone the ZIP code corresponds to,
   then turn to that zone in the appropriate FedEx
   rate tables.
3. Find your rate under the shipment weight and
   FedEx® service you choose.

Effective: 01/17/2009
-------------------------------------------------------------------------------
"Destination Zip"," FedEx Express Zone"," FedEx Ground Zone",
"96800-96899","**","NA",
"970-994","16","92",
"99501-99524","9","17",
"99540","9","17",
"99567","9","17",
"000-003","16","NA",
"006-007","NA","10",
"009","NA","10",
"590-591","16","92",
"594","16","92",
"596-599","16","92",
"677","16","92",
"679","16","92",
"693","16","92",
"700-738","16","96",
"740-789","16","96",
"792","16","96",
"795-796","16","96",
"96700-96798","**","NA",
"969","NA","92",
"99500","11","17",
"99525-99539","11","17",
"99541-99566","11","17",
"99568-99576","11","17",
"99578-99999","11","17",
"004-005","16","96",
"008","NA","NA",
"010-589","16","96",
"592-593","16","96",
"595","16","96",
"600-676","16","96",
"678","16","96",
"680-692","16","96",
"694-699","16","NA",
"739","16","92",
"790-791","16","92",
"793-794","16","92",
"797-966","16","92",
"99577","9","17",
-------------------------------------------------------------------------------

Zones differ for FedEx Express and FedEx Ground services outside the contiguous
U.S. Refer to the appropriate service rate guides to determine your shipping costs.

To request a zone locator, go to fedex.com/us/rates/ratetools.html and select“Get zone locator,” or call 1.800.GoFedEx 1.800.463.3339.

†FedEx reserves the right to modify its services and zone structure without notice.

Note: Go to fedex.com for information on FedEx Home Delivery® service.
NA = Not applicable or ZIP code(s) not assigned.

**For intra-Hawaii shipments, call 1.800.GoFedEx 1.800.463.3339
